model,n_features,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,fpr,train_time_sec,predict_time_sec,test_rows
RandomForest,7,0.8122186596749482,0.5008237185772648,0.8203306287707843,0.9872501059281229,0.8960833500860946,0.49997891260964433,0.8210533513544442,164,11227,662,51260,0.9856026687735931,1.7449,0.172,63313
ExtraTrees,7,0.8009255603114684,0.500551433905178,0.8202521747629753,0.9697623358114095,0.8887633706357891,0.4986290939079419,0.8209884948216605,357,11034,1570,50352,0.9686594680010535,1.2134,0.3109,63313
LogReg,7,0.8200843428679734,0.5,0.8200843428679734,1.0,0.9011498242721395,0.4975814731328302,0.818177580927086,0,11391,0,51922,1.0,0.1718,0.0096,63313
