model,n_features,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,fpr,train_time_sec,predict_time_sec,test_rows
RandomForest,10,0.9999842054554356,0.9999903701706405,1.0,0.9999807403412811,0.999990370077906,0.9999999983092214,0.9999999996290727,11391,0,1,51921,0.0,1.2785,0.0796,63313
ExtraTrees,10,0.9989259709696271,0.9976662124187139,0.9990568216815522,0.9996340664843419,0.9993453607254944,0.9999945548476074,0.9999987167571089,11342,49,19,51903,0.004301641646914231,0.7913,0.1079,63313
LogReg,10,0.9706063525658237,0.9369868408834087,0.9750251456550206,0.9895034859982281,0.9822109640108971,0.9912946765285452,0.997997138611463,10075,1316,545,51377,0.11552980423141077,0.3162,0.0157,63313
