feature,mean_abs_shap
cat__dns_query_tsfe.trafficmanager.net,0.0
cat__dns_query_search.services.mozilla.com,0.0
cat__dns_query_watson.telemetry.microsoft.com,0.0
cat__dns_query_tsfe.trafficshaping.dsp.mp.microsoft.com,0.0
cat__dns_query_twgzziqbpi,0.0
cat__dns_query_twitter.com,0.0
cat__dns_query_secure.adnxs.com,0.0
cat__dns_query_ris.api.iris.microsoft.com,0.0
cat__dns_query_search.r53-2.services.mozilla.com,0.0
cat__dns_query_ns4.reverse.deploy.akamaitechnologies.com,0.0
cat__dns_query_ns3.azprdmig.msft.net,0.0
cat__dns_query_ns3.canonical.com,0.0
cat__dns_query_ns3.edgecastdns.net,0.0
cat__dns_query_ns3.equant.net,0.0
cat__dns_query_ns3.p16.dynect.net,0.0
cat__dns_query_ns3.reverse.deploy.akamaitechnologies.com,0.0
cat__dns_query_ns3.zdns.google,0.0
cat__dns_query_ns4-204.azure-dns.info,0.0
cat__dns_query_ns4-64.akam.net,0.0
cat__dns_query_ns4.azprdmig.msft.net,0.0
cat__dns_query_ns4.edgecastdns.net,0.0
cat__dns_query_ns4.zdns.google,0.0
cat__dns_query_ns3-204.azure-dns.org,0.0
cat__dns_query_ns5-65.akam.net,0.0
cat__dns_query_ns5.reverse.deploy.akamaitechnologies.com,0.0
cat__dns_query_ns6.icb.co.uk,0.0
cat__dns_query_ns6.reverse.deploy.akamaitechnologies.com,0.0
cat__dns_query_ns7-66.akam.net,0.0
cat__dns_query_ns7.reverse.deploy.akamaitechnologies.com,0.0
cat__dns_query_ns8.reverse.deploy.akamaitechnologies.com,0.0
cat__dns_query_ns9.inone.com,0.0
cat__dns_query_nsatc.net,0.0
cat__dns_query_ocsp.comodoca.com,0.0
cat__dns_query_ocsp.digicert.com,0.0
cat__dns_query_ns3.afrinic.net,0.0
cat__dns_query_ns3-04.azure-dns.org,0.0
cat__dns_query_scotch.io,0.0
cat__dns_query_ns2.edgecastdns.net,0.0
cat__dns_query_ns1prod.11194.azuredns-prd.info,0.0
cat__dns_query_ns1prod.11194.azuredns-prd.org,0.0
cat__dns_query_ns1prod.18.azuredns-prd.info,0.0
cat__dns_query_ns1prod.18.azuredns-prd.org,0.0
cat__dns_query_ns1prod.6618.azuredns-prd.info,0.0
cat__dns_query_ns1prod.6893.azuredns-prd.info,0.0
cat__dns_query_ns1prod.6893.azuredns-prd.org,0.0
cat__dns_query_ns2-04.azure-dns.net,0.0
cat__dns_query_ns2.123-reg.co.uk,0.0
cat__dns_query_ns2.azprdmig.msft.net,0.0
