selection_rule,threshold,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,fpr,pred_positive_rate
best_f1,0.15,0.9998950002624993,0.9989105004444321,0.9999088140353437,0.9999817614765909,0.9999452864255621,2309.0,5.0,1.0,54828.0,0.00216076058772688,0.9595751010622473
best_balanced_accuracy,0.39,0.9998250004374989,0.9999088073829543,1.0,0.9998176147659086,0.9999087990661024,2314.0,0.0,10.0,54819.0,0.0,0.9593301016747459
best_recall_under_fpr_le_0.01,0.08,0.9997900005249987,0.9974070872947278,0.999781185609307,1.0,0.9998905808334093,2302.0,12.0,0.0,54829.0,0.005185825410544511,0.9597151007122482
