threshold,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,fpr,pred_positive_rate
0.0,0.9595051012372469,0.5,0.9595051012372469,1.0,0.9793341192440967,0,2314,0,54829,1.0,1.0
0.01,0.9975675060812348,0.9699654278305964,0.997471256003493,1.0,0.9987340273413663,2175,139,0,54829,0.06006914433880726,0.9619375951560121
0.02,0.9991075022312444,0.9889801210025929,0.9990706997084549,1.0,0.999535133854105,2263,51,0,54829,0.022039757994814176,0.9603975990060025
0.03,0.9993875015312462,0.9924373379429559,0.999362058909303,1.0,0.9996809276799796,2279,35,0,54829,0.01512532411408816,0.9601175997060007
0.04,0.9994925012687468,0.993733794295592,0.9994713624266287,1.0,0.999735611330422,2285,29,0,54829,0.012532411408815903,0.9600125999685001
0.05,0.999685000787498,0.9961106309420916,0.9996718143198352,1.0,0.9998358802290382,2296,18,0,54829,0.007778738115816767,0.9598201004497489
0.06,0.9997375006562483,0.9967588591184097,0.9997264969732331,1.0,0.9998632297830824,2299,15,0,54829,0.00648228176318064,0.9597676005809985
0.07,0.9997550006124984,0.9969749351771824,0.9997447258538008,1.0,0.9998723466335984,2300,14,0,54829,0.006050129645635264,0.9597501006247484
0.08,0.9997900005249987,0.9974070872947278,0.999781185609307,1.0,0.9998905808334093,2302,12,0,54829,0.005185825410544511,0.9597151007122482
0.09,0.9997725005687486,0.9973979680330232,0.999781181619256,0.9999817614765909,0.9998814614886613,2302,12,1,54828,0.005185825410544511,0.9596976007559981
0.1,0.9998075004812488,0.9978301201505686,0.9998176446989314,0.9999817614765909,0.9998996963535065,2304,10,1,54828,0.00432152117545376,0.9596626008434979
0.11,0.9998250004374989,0.9980461962093412,0.9998358772361726,0.9999817614765909,0.9999088140353437,2305,9,1,54828,0.0038893690579083835,0.9596451008872477
0.12,0.9998250004374989,0.9980461962093412,0.9998358772361726,0.9999817614765909,0.9999088140353437,2305,9,1,54828,0.0038893690579083835,0.9596451008872477
0.13,0.9998600003499991,0.9984783483268866,0.9998723443056442,0.9999817614765909,0.9999270498978698,2307,7,1,54828,0.003025064822817632,0.9596101009747475
0.14,0.9998775003062492,0.9986944243856593,0.9998905788379473,0.9999817614765909,0.999936168078568,2308,6,1,54828,0.0025929127052722557,0.9595926010184974
0.15,0.9998950002624993,0.9989105004444321,0.9999088140353437,0.9999817614765909,0.9999452864255621,2309,5,1,54828,0.00216076058772688,0.9595751010622473
0.16,0.9998950002624993,0.9989105004444321,0.9999088140353437,0.9999817614765909,0.9999452864255621,2309,5,1,54828,0.00216076058772688,0.9595751010622473
0.17,0.9998950002624993,0.9989105004444321,0.9999088140353437,0.9999817614765909,0.9999452864255621,2309,5,1,54828,0.00216076058772688,0.9595751010622473
0.18,0.9998950002624993,0.9989105004444321,0.9999088140353437,0.9999817614765909,0.9999452864255621,2309,5,1,54828,0.00216076058772688,0.9595751010622473
0.19,0.9998950002624993,0.9989105004444321,0.9999088140353437,0.9999817614765909,0.9999452864255621,2309,5,1,54828,0.00216076058772688,0.9595751010622473
0.2,0.9998775003062492,0.9989013811827274,0.9999088123723373,0.9999635229531817,0.9999361669143998,2309,5,2,54827,0.00216076058772688,0.9595576011059972
