model,n_features,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,fpr,train_time_sec,predict_time_sec,test_rows
ExtraTrees,40,0.9989675025812436,0.9980872075609915,0.9990125673249551,0.9996631560036828,0.9993377557778003,0.9999685279307701,0.9999874397209404,12568,44,15,44516,0.0034887408816999684,4.6955,0.3665,57143
RandomForest,40,0.9989325026687433,0.9980079179954983,0.9989677303532157,0.9996631560036828,0.9993153221914179,0.9999892784325837,0.9999967073003224,12566,46,15,44516,0.0036473200126863306,3.8538,0.4036,57143
LogReg,40,0.9884500288749278,0.9842633537669689,0.9934093618552758,0.9917585502234398,0.9925832696543354,0.9967571082291548,0.9988043495711973,12319,293,367,44164,0.023231842689502062,3.4355,0.3028,57143
