campaign_id,nodes,edges,cyber_nodes,video_nodes,hub_nodes,mean_score,max_score
2112,1,0,0,0,1,0.09429121863622389,0.09429121863622389
1228,1,0,0,0,1,0.09406941544906086,0.09406941544906086
460,1,0,0,0,1,0.09308109967729389,0.09308109967729389
2341,1,0,0,0,1,0.09290710856954151,0.09290710856954151
1856,1,0,0,0,1,0.09277489405237657,0.09277489405237657
1433,1,0,0,0,1,0.09276501481760693,0.09276501481760693
1901,1,0,0,0,1,0.09255947761782995,0.09255947761782995
1516,1,0,0,0,1,0.09163193309903189,0.09163193309903189
2594,1,0,0,0,1,0.09087129226113522,0.09087129226113522
2165,1,0,0,0,1,0.09065447060194938,0.09065447060194938
727,1,0,0,0,1,0.09044362967304741,0.09044362967304741
868,1,0,0,0,1,0.08940913263418072,0.08940913263418072
1028,1,0,0,0,1,0.08927944348388087,0.08927944348388087
2088,1,0,0,0,1,0.08906396731812756,0.08906396731812756
1801,1,0,0,0,1,0.08867535945894302,0.08867535945894302
796,1,0,0,0,1,0.0882235034013168,0.0882235034013168
64,1,0,0,0,1,0.08818259232872526,0.08818259232872526
916,1,0,0,0,1,0.08793593647535901,0.08793593647535901
1528,1,0,0,0,1,0.08781537825560075,0.08781537825560075
647,1,0,0,0,1,0.08753511147591014,0.08753511147591014
1066,1,0,0,0,1,0.08719084485999065,0.08719084485999065
1812,1,0,0,0,1,0.08715916215434452,0.08715916215434452
728,1,0,0,0,1,0.08668159358003491,0.08668159358003491
1593,1,0,0,0,1,0.08600168911996894,0.08600168911996894
233,1,0,0,0,1,0.08579486105473016,0.08579486105473016
2432,1,0,0,0,1,0.08498512577000278,0.08498512577000278
393,1,0,0,0,1,0.0848871018394732,0.0848871018394732
2272,1,0,0,0,1,0.08476031626301182,0.08476031626301182
1187,1,0,0,0,1,0.08457305520372632,0.08457305520372632
860,1,0,0,0,1,0.08431742300007239,0.08431742300007239
2008,1,0,0,0,1,0.08427812151934622,0.08427812151934622
901,1,0,0,0,1,0.0840057498083045,0.0840057498083045
2329,1,0,0,0,1,0.08382912712217754,0.08382912712217754
1297,1,0,0,0,1,0.08376123975378497,0.08376123975378497
2426,1,0,0,0,1,0.08371419627985721,0.08371419627985721
829,1,0,0,0,1,0.08368018801552535,0.08368018801552535
1533,1,0,0,0,1,0.08312390572641323,0.08312390572641323
1961,1,0,0,0,1,0.08304946077139208,0.08304946077139208
425,1,0,0,0,1,0.08268046974645835,0.08268046974645835
274,1,0,0,0,1,0.08246107850808643,0.08246107850808643
1499,1,0,0,0,1,0.08244682945161233,0.08244682945161233
515,1,0,0,0,1,0.08215432139144525,0.08215432139144525
2489,1,0,0,0,1,0.0819615701274807,0.0819615701274807
1989,1,0,0,0,1,0.0815735404948555,0.0815735404948555
1051,1,0,0,0,1,0.08117193466758388,0.08117193466758388
2197,1,0,0,0,1,0.08090195636659638,0.08090195636659638
1966,1,0,0,0,1,0.08076814882611846,0.08076814882611846
735,1,0,0,0,1,0.08060148826486054,0.08060148826486054
720,1,0,0,0,1,0.08057680952605198,0.08057680952605198
2566,1,0,0,0,1,0.08037323098394437,0.08037323098394437
1763,1,0,0,0,1,0.0801194125080231,0.0801194125080231
309,1,0,0,0,1,0.07992154159313675,0.07992154159313675
1260,1,0,0,0,1,0.07991714824927568,0.07991714824927568
1362,1,0,0,0,1,0.07970582730760195,0.07970582730760195
1815,1,0,0,0,1,0.07871481891019896,0.07871481891019896
98,1,0,0,0,1,0.07797272753795342,0.07797272753795342
1057,1,0,0,0,1,0.07744688245816767,0.07744688245816767
304,1,0,0,0,1,0.07727612440853729,0.07727612440853729
2449,1,0,0,0,1,0.07709572302945839,0.07709572302945839
1060,1,0,0,0,1,0.07666850534928076,0.07666850534928076
836,1,0,0,0,1,0.07659444940309623,0.07659444940309623
891,1,0,0,0,1,0.07640463326400283,0.07640463326400283
928,1,0,0,0,1,0.07623741690411662,0.07623741690411662
1609,1,0,0,0,1,0.07621336752360695,0.07621336752360695
827,1,0,0,0,1,0.07620271031509987,0.07620271031509987
1850,1,0,0,0,1,0.07502703251711237,0.07502703251711237
343,1,0,0,0,1,0.07492525241558048,0.07492525241558048
1885,1,0,0,0,1,0.07436655243835932,0.07436655243835932
2037,1,0,0,0,1,0.07429720275582291,0.07429720275582291
1832,1,0,0,0,1,0.07428100750457277,0.07428100750457277
909,1,0,0,0,1,0.07411911880963032,0.07411911880963032
1924,1,0,0,0,1,0.07397873430038054,0.07397873430038054
2484,1,0,0,0,1,0.073460150550465,0.073460150550465
2038,1,0,0,0,1,0.07339579847990181,0.07339579847990181
2647,1,0,0,0,1,0.07327820714343605,0.07327820714343605
1644,1,0,0,0,1,0.07290204365935052,0.07290204365935052
2383,1,0,0,0,1,0.07266048078147998,0.07266048078147998
